silo_name,gvar,treat,diff_times,gt,RI,start_time,end_time,diff_estimate,diff_var,diff_estimate_covariates,diff_var_covariates,covariates,date_format
73,1991,0,1991;1990,1991;1991,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
73,1991,0,1992;1990,1991;1992,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
73,1991,0,1993;1990,1991;1993,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
73,1991,0,1994;1990,1991;1994,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
73,1991,0,1995;1990,1991;1995,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
73,1991,0,1996;1990,1991;1996,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
73,1991,0,1997;1990,1991;1997,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
73,1991,0,1998;1990,1991;1998,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
73,1991,0,1999;1990,1991;1999,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
73,1991,0,2000;1990,1991;2000,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
46,1991,0,1991;1990,1991;1991,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
46,1991,0,1992;1990,1991;1992,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
46,1991,0,1993;1990,1991;1993,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
46,1991,0,1994;1990,1991;1994,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
46,1991,0,1995;1990,1991;1995,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
46,1991,0,1996;1990,1991;1996,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
46,1991,0,1997;1990,1991;1997,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
46,1991,0,1998;1990,1991;1998,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
46,1991,0,1999;1990,1991;1999,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
46,1991,0,2000;1990,1991;2000,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
54,1991,0,1991;1990,1991;1991,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
54,1991,0,1992;1990,1991;1992,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
54,1991,0,1993;1990,1991;1993,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
54,1991,0,1994;1990,1991;1994,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
54,1991,0,1995;1990,1991;1995,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
54,1991,0,1996;1990,1991;1996,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
54,1991,0,1997;1990,1991;1997,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
54,1991,0,1998;1990,1991;1998,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
54,1991,0,1999;1990,1991;1999,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
54,1991,0,2000;1990,1991;2000,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
23,1991,0,1991;1990,1991;1991,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
23,1991,0,1992;1990,1991;1992,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
23,1991,0,1993;1990,1991;1993,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
23,1991,0,1994;1990,1991;1994,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
23,1991,0,1995;1990,1991;1995,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
23,1991,0,1996;1990,1991;1996,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
23,1991,0,1997;1990,1991;1997,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
23,1991,0,1998;1990,1991;1998,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
23,1991,0,1999;1990,1991;1999,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
23,1991,0,2000;1990,1991;2000,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
86,1991,0,1991;1990,1991;1991,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
86,1991,0,1992;1990,1991;1992,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
86,1991,0,1993;1990,1991;1993,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
86,1991,0,1994;1990,1991;1994,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
86,1991,0,1995;1990,1991;1995,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
86,1991,0,1996;1990,1991;1996,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
86,1991,0,1997;1990,1991;1997,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
86,1991,0,1998;1990,1991;1998,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
86,1991,0,1999;1990,1991;1999,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
86,1991,0,2000;1990,1991;2000,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
32,1991,0,1991;1990,1991;1991,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
32,1991,0,1992;1990,1991;1992,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
32,1991,0,1993;1990,1991;1993,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
32,1991,0,1994;1990,1991;1994,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
32,1991,0,1995;1990,1991;1995,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
32,1991,0,1996;1990,1991;1996,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
32,1991,0,1997;1990,1991;1997,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
32,1991,0,1998;1990,1991;1998,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
32,1991,0,1999;1990,1991;1999,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
32,1991,0,2000;1990,1991;2000,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
71,1991,1,1991;1990,1991;1991,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
71,1991,1,1992;1990,1991;1992,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
71,1991,1,1993;1990,1991;1993,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
71,1991,1,1994;1990,1991;1994,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
71,1991,1,1995;1990,1991;1995,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
71,1991,1,1996;1990,1991;1996,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
71,1991,1,1997;1990,1991;1997,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
71,1991,1,1998;1990,1991;1998,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
71,1991,1,1999;1990,1991;1999,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
71,1991,1,2000;1990,1991;2000,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
73,1993,0,1993;1992,1993;1993,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
73,1993,0,1994;1992,1993;1994,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
73,1993,0,1995;1992,1993;1995,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
73,1993,0,1996;1992,1993;1996,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
73,1993,0,1997;1992,1993;1997,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
73,1993,0,1998;1992,1993;1998,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
73,1993,0,1999;1992,1993;1999,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
73,1993,0,2000;1992,1993;2000,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
46,1993,0,1993;1992,1993;1993,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
46,1993,0,1994;1992,1993;1994,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
46,1993,0,1995;1992,1993;1995,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
46,1993,0,1996;1992,1993;1996,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
46,1993,0,1997;1992,1993;1997,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
46,1993,0,1998;1992,1993;1998,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
46,1993,0,1999;1992,1993;1999,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
46,1993,0,2000;1992,1993;2000,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
54,1993,0,1993;1992,1993;1993,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
54,1993,0,1994;1992,1993;1994,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
54,1993,0,1995;1992,1993;1995,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
54,1993,0,1996;1992,1993;1996,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
54,1993,0,1997;1992,1993;1997,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
54,1993,0,1998;1992,1993;1998,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
54,1993,0,1999;1992,1993;1999,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
54,1993,0,2000;1992,1993;2000,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
23,1993,0,1993;1992,1993;1993,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
23,1993,0,1994;1992,1993;1994,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
23,1993,0,1995;1992,1993;1995,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
23,1993,0,1996;1992,1993;1996,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
23,1993,0,1997;1992,1993;1997,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
23,1993,0,1998;1992,1993;1998,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
23,1993,0,1999;1992,1993;1999,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
23,1993,0,2000;1992,1993;2000,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
86,1993,0,1993;1992,1993;1993,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
86,1993,0,1994;1992,1993;1994,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
86,1993,0,1995;1992,1993;1995,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
86,1993,0,1996;1992,1993;1996,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
86,1993,0,1997;1992,1993;1997,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
86,1993,0,1998;1992,1993;1998,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
86,1993,0,1999;1992,1993;1999,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
86,1993,0,2000;1992,1993;2000,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
32,1993,0,1993;1992,1993;1993,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
32,1993,0,1994;1992,1993;1994,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
32,1993,0,1995;1992,1993;1995,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
32,1993,0,1996;1992,1993;1996,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
32,1993,0,1997;1992,1993;1997,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
32,1993,0,1998;1992,1993;1998,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
32,1993,0,1999;1992,1993;1999,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
32,1993,0,2000;1992,1993;2000,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
58,1993,1,1993;1992,1993;1993,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
58,1993,1,1994;1992,1993;1994,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
58,1993,1,1995;1992,1993;1995,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
58,1993,1,1996;1992,1993;1996,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
58,1993,1,1997;1992,1993;1997,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
58,1993,1,1998;1992,1993;1998,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
58,1993,1,1999;1992,1993;1999,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
58,1993,1,2000;1992,1993;2000,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
73,1996,0,1996;1995,1996;1996,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
73,1996,0,1997;1995,1996;1997,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
73,1996,0,1998;1995,1996;1998,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
73,1996,0,1999;1995,1996;1999,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
73,1996,0,2000;1995,1996;2000,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
46,1996,0,1996;1995,1996;1996,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
46,1996,0,1997;1995,1996;1997,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
46,1996,0,1998;1995,1996;1998,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
46,1996,0,1999;1995,1996;1999,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
46,1996,0,2000;1995,1996;2000,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
54,1996,0,1996;1995,1996;1996,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
54,1996,0,1997;1995,1996;1997,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
54,1996,0,1998;1995,1996;1998,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
54,1996,0,1999;1995,1996;1999,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
54,1996,0,2000;1995,1996;2000,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
23,1996,0,1996;1995,1996;1996,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
23,1996,0,1997;1995,1996;1997,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
23,1996,0,1998;1995,1996;1998,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
23,1996,0,1999;1995,1996;1999,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
23,1996,0,2000;1995,1996;2000,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
86,1996,0,1996;1995,1996;1996,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
86,1996,0,1997;1995,1996;1997,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
86,1996,0,1998;1995,1996;1998,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
86,1996,0,1999;1995,1996;1999,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
86,1996,0,2000;1995,1996;2000,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
32,1996,0,1996;1995,1996;1996,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
32,1996,0,1997;1995,1996;1997,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
32,1996,0,1998;1995,1996;1998,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
32,1996,0,1999;1995,1996;1999,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
32,1996,0,2000;1995,1996;2000,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
64,1996,1,1996;1995,1996;1996,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
64,1996,1,1997;1995,1996;1997,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
64,1996,1,1998;1995,1996;1998,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
64,1996,1,1999;1995,1996;1999,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
64,1996,1,2000;1995,1996;2000,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
73,1997,0,1997;1996,1997;1997,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
73,1997,0,1998;1996,1997;1998,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
73,1997,0,1999;1996,1997;1999,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
73,1997,0,2000;1996,1997;2000,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
46,1997,0,1997;1996,1997;1997,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
46,1997,0,1998;1996,1997;1998,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
46,1997,0,1999;1996,1997;1999,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
46,1997,0,2000;1996,1997;2000,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
54,1997,0,1997;1996,1997;1997,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
54,1997,0,1998;1996,1997;1998,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
54,1997,0,1999;1996,1997;1999,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
54,1997,0,2000;1996,1997;2000,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
23,1997,0,1997;1996,1997;1997,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
23,1997,0,1998;1996,1997;1998,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
23,1997,0,1999;1996,1997;1999,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
23,1997,0,2000;1996,1997;2000,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
86,1997,0,1997;1996,1997;1997,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
86,1997,0,1998;1996,1997;1998,0,1989-01-01,2000-01-01,NA,NA,NA,NA,asian;black;male,yyyy
